Archivos,Size,Fechas
/workspaces/exercise-terminal-challenge/requirements.txt,270,23/10/2023 18:33:01
/workspaces/exercise-terminal-challenge/index.html,401,23/10/2023 18:33:01
/workspaces/exercise-terminal-challenge/README.md,2241,23/10/2023 18:33:01
/workspaces/exercise-terminal-challenge/preview.png,148033,23/10/2023 18:33:01
/workspaces/exercise-terminal-challenge/README.es.md,2649,23/10/2023 18:33:01
/workspaces/exercise-terminal-challenge/.babelrc,595,23/10/2023 18:33:01
/workspaces/exercise-terminal-challenge/.gitignore,33,23/10/2023 18:33:01
/workspaces/exercise-terminal-challenge/index.js,823,23/10/2023 18:33:01
/workspaces/exercise-terminal-challenge/server.js,785,23/10/2023 18:33:01
/workspaces/exercise-terminal-challenge/Untitled,0,23/10/2023 18:33:01
/workspaces/exercise-terminal-challenge/package-lock.json,874646,23/10/2023 18:33:01
/workspaces/exercise-terminal-challenge/learn.json,514,23/10/2023 18:33:01
/workspaces/exercise-terminal-challenge/webpack.config.js,1325,23/10/2023 18:33:01
/workspaces/exercise-terminal-challenge/package.json,1903,23/10/2023 18:33:01
/workspaces/exercise-terminal-challenge/assets/icon.png,4902,23/10/2023 18:33:01
/workspaces/exercise-terminal-challenge/src/main.py,1541,24/10/2023 23:18:46
/workspaces/exercise-terminal-challenge/src/main.sh,13,23/10/2023 18:33:01
/workspaces/exercise-terminal-challenge/src/tabla.csv,10210,24/10/2023 23:18:29
/workspaces/exercise-terminal-challenge/.git/FETCH_HEAD,117,23/10/2023 18:34:42
/workspaces/exercise-terminal-challenge/.git/HEAD,23,23/10/2023 18:33:01
/workspaces/exercise-terminal-challenge/.git/description,73,23/10/2023 18:32:59
/workspaces/exercise-terminal-challenge/.git/packed-refs,114,23/10/2023 18:33:01
/workspaces/exercise-terminal-challenge/.git/index,8439,23/10/2023 18:33:01
/workspaces/exercise-terminal-challenge/.git/config,417,23/10/2023 18:34:56
/workspaces/exercise-terminal-challenge/.git/info/exclude,240,23/10/2023 18:32:59
/workspaces/exercise-terminal-challenge/.git/logs/HEAD,268,23/10/2023 18:33:01
/workspaces/exercise-terminal-challenge/.git/logs/refs/heads/master,268,23/10/2023 18:33:01
/workspaces/exercise-terminal-challenge/.git/logs/refs/remotes/origin/HEAD,268,23/10/2023 18:33:01
/workspaces/exercise-terminal-challenge/.git/objects/pack/pack-cdd398bb388ef081bec99130ed895567488efc4f.pack,1008396,23/10/2023 18:33:00
/workspaces/exercise-terminal-challenge/.git/objects/pack/pack-b1c59c24e492ae6db9839125b5e55f667fc26420.pack,1720221,23/10/2023 18:34:42
/workspaces/exercise-terminal-challenge/.git/objects/pack/pack-cdd398bb388ef081bec99130ed895567488efc4f.idx,3256,23/10/2023 18:33:00
/workspaces/exercise-terminal-challenge/.git/objects/pack/pack-b1c59c24e492ae6db9839125b5e55f667fc26420.idx,37724,23/10/2023 18:34:42
/workspaces/exercise-terminal-challenge/.git/hooks/post-update.sample,189,23/10/2023 18:32:59
/workspaces/exercise-terminal-challenge/.git/hooks/update.sample,3650,23/10/2023 18:32:59
/workspaces/exercise-terminal-challenge/.git/hooks/commit-msg.sample,896,23/10/2023 18:32:59
/workspaces/exercise-terminal-challenge/.git/hooks/pre-merge-commit.sample,416,23/10/2023 18:32:59
/workspaces/exercise-terminal-challenge/.git/hooks/push-to-checkout.sample,2783,23/10/2023 18:32:59
/workspaces/exercise-terminal-challenge/.git/hooks/applypatch-msg.sample,478,23/10/2023 18:32:59
/workspaces/exercise-terminal-challenge/.git/hooks/pre-applypatch.sample,424,23/10/2023 18:32:59
/workspaces/exercise-terminal-challenge/.git/hooks/pre-commit.sample,1643,23/10/2023 18:32:59
/workspaces/exercise-terminal-challenge/.git/hooks/pre-receive.sample,544,23/10/2023 18:32:59
/workspaces/exercise-terminal-challenge/.git/hooks/pre-rebase.sample,4898,23/10/2023 18:32:59
/workspaces/exercise-terminal-challenge/.git/hooks/prepare-commit-msg.sample,1492,23/10/2023 18:32:59
/workspaces/exercise-terminal-challenge/.git/hooks/pre-push.sample,1374,23/10/2023 18:32:59
/workspaces/exercise-terminal-challenge/.git/hooks/fsmonitor-watchman.sample,4655,23/10/2023 18:32:59
/workspaces/exercise-terminal-challenge/.git/refs/heads/master,41,23/10/2023 18:33:01
/workspaces/exercise-terminal-challenge/.git/refs/remotes/origin/HEAD,32,23/10/2023 18:33:01
/workspaces/exercise-terminal-challenge/thecmdchallenge/console_master.md,847,23/10/2023 18:33:01
/workspaces/exercise-terminal-challenge/thecmdchallenge/kamehameha/dragon-ball-jokes.md,1060,23/10/2023 18:33:01
/workspaces/exercise-terminal-challenge/thecmdchallenge/small-name/bigger-name-than-before/omg-this-folder-has-a-huuuuuuge-name-and-i-tired-to-type/this-is-probably-the-longest-folder-name-you-have-ever-seen-but-believe--im-sure-there-are-other-folder-bigger-than-this-one-because-people-sometimes-like-to-assign-huge-names-to-their-personal-stuff-supercalifragilisticexpialidocious/trophy.txt,6362,23/10/2023 18:33:01
/workspaces/exercise-terminal-challenge/thecmdchallenge/boringfolder/jquery.png,16703,23/10/2023 18:33:01
/workspaces/exercise-terminal-challenge/thecmdchallenge/boringfolder/js.png,22359,23/10/2023 18:33:01
